Data,EPS,Dividend,,,,,,,,,
31-Mar-10,? 90.93,? 32.84,,,,,,,,,
28-Feb-10,? 86.33,? 32.74,,,,,,,,,
31-Jan-10,? 81.38,? 32.70,,,,,,,,,
31-Dec-09,? 76.66,? 32.69,,,,,,,,,
30-Nov-09,? 57.29,? 33.07,,,,,,,,,
31-Oct-09,? 38.09,? 33.33,,,,,,,,,
30-Sep-09,? 18.86,? 33.70,,,,,,,,,
31-Aug-09,? 16.35,? 34.39,,,,,,,,,
31-Jul-09,? 13.86,? 35.16,,,,,,,,,
30-Jun-09,? 11.31,? 35.95,,,,,,,,,
31-May-09,? 11.08,? 36.82,,,,,,,,,
30-Apr-09,? 10.78,? 37.75,,,,,,,,,
31-Mar-09,? 10.48,? 38.54,,,,,,,,,
28-Feb-09,? 14.59,? 39.71,,,,,,,,,
31-Jan-09,? 18.78,? 40.67,,,,,,,,,
31-Dec-08,? 22.99,? 41.62,,,,,,,,,
30-Nov-08,? 38.59,? 42.30,,,,,,,,,
31-Oct-08,? 53.38,? 43.09,,,,,,,,,
30-Sep-08,? 68.22,? 43.86,,,,,,,,,
31-Aug-08,? 70.80,? 43.64,,,,,,,,,
31-Jul-08,? 73.19,? 43.04,,,,,,,,,
30-Jun-08,? 76.25,? 42.84,,,,,,,,,
31-May-08,? 81.53,? 42.71,,,,,,,,,
30-Apr-08,? 86.76,? 42.47,,,,,,,,,
31-Mar-08,? 91.86,? 42.62,,,,,,,,,
29-Feb-08,? 95.62,? 42.84,,,,,,,,,
31-Jan-08,? 98.87,? 43.00,,,,,,,,,
31-Dec-07,? 102.34,? 43.05,,,,,,,,,
30-Nov-07,? 108.67,? 43.13,,,,,,,,,
31-Oct-07,? 115.75,? 42.97,,,,,,,,,
30-Sep-07,? 122.45,? 42.88,,,,,,,,,
31-Aug-07,? 126.08,? 42.47,,,,,,,,,
31-Jul-07,? 129.13,? 42.33,,,,,,,,,
30-Jun-07,? 132.38,? 42.03,,,,,,,,,
31-May-07,? 131.72,? 41.72,,,,,,,,,
30-Apr-07,? 131.59,? 41.23,,,,,,,,,
31-Mar-07,? 131.52,? 40.80,,,,,,,,,
28-Feb-07,? 131.84,? 40.52,,,,,,,,,
31-Jan-07,? 131.67,? 40.42,,,,,,,,,
31-Dec-06,? 131.19,? 40.32,,,,,,,,,
30-Nov-06,? 129.81,? 40.37,,,,,,,,,
31-Oct-06,? 128.04,? 40.26,,,,,,,,,
30-Sep-06,? 125.77,? 40.05,,,,,,,,,
31-Aug-06,? 122.99,? 39.69,,,,,,,,,
31-Jul-06,? 121.06,? 39.21,,,,,,,,,
30-Jun-06,? 119.24,? 38.57,,,,,,,,,
31-May-06,? 118.51,? 38.03,,,,,,,,,
30-Apr-06,? 118.12,? 37.76,,,,,,,,,
31-Mar-06,? 118.13,? 37.52,,,,,,,,,
28-Feb-06,? 117.24,? 37.24,,,,,,,,,
31-Jan-06,? 115.93,? 37.08,,,,,,,,,
31-Dec-05,? 115.25,? 37.04,,,,,,,,,
30-Nov-05,? 112.94,? 36.93,,,,,,,,,
31-Oct-05,? 110.21,? 36.70,,,,,,,,,
